,Time,#CigSales
0,1949-01,1000112
1,1949-02,1000118
2,1949-03,1000132
3,1949-04,1000129
4,1949-05,1000121
5,1949-06,1000135
6,1949-07,1000148
7,1949-08,1000148
8,1949-09,1000136
9,1949-10,1000119
10,1949-11,1000104
11,1949-12,1000118
12,1950-01,1000115
13,1950-02,1000126
14,1950-03,1000141
15,1950-04,1000135
16,1950-05,1000125
17,1950-06,1000149
18,1950-07,1000170
19,1950-08,1000170
20,1950-09,1000158
21,1950-10,1000133
22,1950-11,1000114
23,1950-12,1000140
24,1951-01,1000145
25,1951-02,1000150
26,1951-03,1000178
27,1951-04,1000163
28,1951-05,1000172
29,1951-06,1000178
30,1951-07,1000199
31,1951-08,1000199
32,1951-09,1000184
33,1951-10,1000162
34,1951-11,1000146
35,1951-12,1000166
36,1952-01,1000171
37,1952-02,1000180
38,1952-03,1000193
39,1952-04,1000181
40,1952-05,1000183
41,1952-06,1000218
42,1952-07,1000230
43,1952-08,1000242
44,1952-09,1000209
45,1952-10,1000191
46,1952-11,1000172
47,1952-12,1000194
48,1953-01,1000196
49,1953-02,1000196
50,1953-03,1000236
51,1953-04,1000235
52,1953-05,1000229
53,1953-06,1000243
54,1953-07,1000264
55,1953-08,1000272
56,1953-09,1000237
57,1953-10,1000211
58,1953-11,1000180
59,1953-12,1000201
60,1954-01,1000204
61,1954-02,1000188
62,1954-03,1000235
63,1954-04,1000227
64,1954-05,1000234
65,1954-06,1000264
66,1954-07,1000302
67,1954-08,1000293
68,1954-09,1000259
69,1954-10,1000229
70,1954-11,1000203
71,1954-12,1000229
72,1955-01,1000242
73,1955-02,1000233
74,1955-03,1000267
75,1955-04,1000269
76,1955-05,1000270
77,1955-06,1000315
78,1955-07,1000364
79,1955-08,1000347
80,1955-09,1000312
81,1955-10,1000274
82,1955-11,1000237
83,1955-12,1000278
84,1956-01,1000284
85,1956-02,1000277
86,1956-03,1000317
87,1956-04,1000313
88,1956-05,1000318
89,1956-06,1000374
90,1956-07,1000413
91,1956-08,1000405
92,1956-09,1000355
93,1956-10,1000306
94,1956-11,1000271
95,1956-12,1000306
96,1957-01,1000315
97,1957-02,1000301
98,1957-03,1000356
99,1957-04,1000348
100,1957-05,1000355
101,1957-06,1000422
102,1957-07,1000465
103,1957-08,1000467
104,1957-09,1000404
105,1957-10,1000347
106,1957-11,1000305
107,1957-12,1000336
108,1958-01,1000340
109,1958-02,1000318
110,1958-03,1000362
111,1958-04,1000348
112,1958-05,1000363
113,1958-06,1000435
114,1958-07,1000491
115,1958-08,1000505
116,1958-09,1000404
117,1958-10,1000359
118,1958-11,1000310
119,1958-12,1000337
120,1959-01,1000360
121,1959-02,1000342
122,1959-03,1000406
123,1959-04,1000396
124,1959-05,1000420
125,1959-06,1000472
126,1959-07,1000548
127,1959-08,1000559
128,1959-09,1000463
129,1959-10,1000407
130,1959-11,1000362
131,1959-12,1000405
132,1960-01,1000417
133,1960-02,1000391
134,1960-03,1000419
135,1960-04,1000461
136,1960-05,1000472
137,1960-06,1000535
138,1960-07,1000622
139,1960-08,1000606
140,1960-09,1000508
141,1960-10,1000461
142,1960-11,1000390
143,1960-12,1000432